plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-21114,PH21,54.38798611,73.25717065,88.04279858,58.38769676,7.077805427,4.083102816,6.029100116,74.5756386,72.68912302,835,63.38840278,9.000416667
BR024-21215,PH21,52.58440972,62.51071553,95.01649592,55.58436343,14.78626492,5.838415884,10.58338927,88.63705675,72.9208744,1317,101.6289005,49.04449074
BR024-21216,PH21,53.59590278,41.4324545,94.00870451,57.5959375,22.70201009,6.970697508,18.0701338,77.32368237,43.71854735,1304,104.5961458,51.00024306
BR024-21217,PH21,52.7609375,52.82372159,96.02556236,58.76091435,19.09558754,7.115653935,11.76979836,79.75373805,71.64523759,1403,91.87857639,39.11763889
BR024-21218,PH21,52.86914352,25.8388533,92.00425946,54.86918981,37.67969069,7.700177083,14.39838393,72.7256002,56.8466575,1334,100.8690394,47.99989583
BR024-22111,PH22,61.33064815,78.02136936,96.99775468,65.33072917,20.71355596,8.844086022,15.57922117,101.8194529,86.50945933,2089,88.33112269,27.00047454
BR024-22112,PH22,63.16115741,69.64028118,92.98385697,65.16121528,22.97664474,9.347666292,16.93826901,94.62254774,78.62373654,2089,93.16717593,30.00601852
BR024-22113,PH22,58.26600694,68.7632,95.98333623,62.26623843,21.76309421,9.291804591,15.88026442,89.81032606,78.6038549,1955,95.26622685,37.00021991
BR024-22114,PH22,61.38247685,64.09970266,96.01222378,69.38262731,19.11865343,7.547083152,12.99527225,90.03478381,78.54779648,1665,104.3825116,43.00003472
BR024-22215,PH22,55.58546296,62.45881591,99.01489807,63.58550926,22.97353831,8.191752894,15.2520279,97.96438081,78.53054087,1881,100.5855208,45.00005787
BR024-22216,PH22,63.64825231,81.76458193,86.02489146,65.6481713,16.54506105,6.666770833,12.58326485,110.398275,89.12631285,1842,89.64828704,26.00003472
